TESTCASE,Age,Term,Vehicle_Type,Milage,LOAN_PROGRAM_ID
FLCL1_ITIN_LTV3_30.01-40_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_40.01-50_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_50.01-60_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_60.01-70_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_70.01-80_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_>80.01_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_>80.01_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_>80.01_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_>80.01_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_>80.01_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_0-20_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_20.01-30_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_30.01-40_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_40.01-50_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_50.01-60_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_60.01-70_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_70.01-80_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_040
FLCL1_ITIN_LTV3_>80.01_Luxury_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_040
