TESTCASE,Age,Term,Vehicle_Type,Milage
FLCL2_ITIN_LTV3_50.01-60_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_50.01-60_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_50.01-60_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_50.01-60_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_50.01-60_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_50.01-60_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_50.01-60_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_50.01-60_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_60.01-70_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_60.01-70_Luxury_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_60.01-70_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_60.01-70_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_60.01-70_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_60.01-70_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_60.01-70_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_60.01-70_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_60.01-70_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_60.01-70_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_70.01-80_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_70.01-80_Luxury_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_70.01-80_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_70.01-80_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_70.01-80_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_70.01-80_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_70.01-80_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_70.01-80_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_70.01-80_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_70.01-80_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_>80.01_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_>80.01_Luxury_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_>80.01_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_>80.01_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_>80.01_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_>80.01_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_>80.01_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_>80.01_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_>80.01_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_>80.01_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_20_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_20_Luxury&Mileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_20_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_20_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_20_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_20_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_20_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_20_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_20_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_20_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_20.01-30_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_20.01-30_Luxury&Mileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_20.01-30_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_20.01-30_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_20.01-30_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_20.01-30_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_20.01-30_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_20.01-30_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_20.01-30_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_20.01-30_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_30.01-40_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_30.01-40_Luxury&Mileage_None_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_30.01-40_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_30.01-40_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_30.01-40_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_30.01-40_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_30.01-40_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_30.01-40_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_30.01-40_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_30.01-40_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_40.01-50_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_40.01-50_Luxury&Mileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_40.01-50_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_40.01-50_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_40.01-50_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_40.01-50_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_40.01-50_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_40.01-50_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_40.01-50_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_40.01-50_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_50.01-60_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_50.01-60_Luxury&Mileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_50.01-60_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_50.01-60_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_50.01-60_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_50.01-60_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_50.01-60_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_50.01-60_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_50.01-60_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_50.01-60_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_60.01-70_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_60.01-70_Luxury&Mileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_60.01-70_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_60.01-70_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_60.01-70_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_60.01-70_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_60.01-70_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_60.01-70_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_60.01-70_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_60.01-70_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_70.01-80_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_70.01-80_Luxury&Mileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_70.01-80_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_70.01-80_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_70.01-80_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_70.01-80_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_70.01-80_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_70.01-80_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_70.01-80_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_70.01-80_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_>80.01_Luxury&Mileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_>80.01_Luxury&Mileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_>80.01_Luxury&Mileage_PaidAuto,2023,60,New,110909
FLCL2_ITIN_LTV3_>80.01_Luxury&Mileage_PaidAuto_600,2021,66,New,100001
FLCL2_ITIN_LTV3_>80.01_Luxury&Mileage_600,2022,72,New,100411
FLCL2_ITIN_LTV3_>80.01_Luxury&Mileage_AB_700LTB_PaidAuto,2022,48,New,117538
FLCL3_ITIN_LTV3_>80.01_Luxury&Mileage_B_700_PaidAuto,2025,54,Used,100001
FLCL3_ITIN_LTV3_>80.01_Luxury&Mileage_A_700LTB,2022,60,Used,100001
FLCL3_ITIN_LTV3_>80.01_Luxury&Mileage_C_700STB,2022,66,Used,100001
FLCL3_ITIN_LTV3_>80.01_Luxury&Mileage_D_700,2022,72,Used,100001
FLCL2_ITIN_LTV3_0-20_SedanMileage_None,2023,48,New,125205
FLCL2_ITIN_LTV3_0-20_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_0-20_SedanMileage_PaidAuto,2023,60,New,101900
FLCL2_ITIN_LTV3_0-20_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_0-20_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_0-20_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_0-20_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_0-20_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_0-20_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_0-20_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_20.01-30_SedanMileage_None,2023,48,New,101900
FLCL2_ITIN_LTV3_20.01-30_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_20.01-30_SedanMileage_PaidAuto,2023,60,New,101900
FLCL2_ITIN_LTV3_20.01-30_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_20.01-30_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_20.01-30_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_20.01-30_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_20.01-30_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_20.01-30_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_20.01-30_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_30.01-40_SedanMileage_None,2023,48,New,101900
FLCL2_ITIN_LTV3_30.01-40_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_30.01-40_SedanMileage_PaidAuto,2023,60,New,101900
FLCL2_ITIN_LTV3_30.01-40_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_30.01-40_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_30.01-40_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_30.01-40_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_30.01-40_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_30.01-40_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_30.01-40_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_40.01-50_SedanMileage_None,2023,48,New,101900
FLCL2_ITIN_LTV3_40.01-50_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_40.01-50_SedanMileage_PaidAuto,2023,60,New,101900
FLCL2_ITIN_LTV3_40.01-50_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_40.01-50_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_40.01-50_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_40.01-50_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_40.01-50_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_40.01-50_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_40.01-50_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_50.01-60_SedanMileage_None,2023,48,New,101900
FLCL2_ITIN_LTV3_50.01-60_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_50.01-60_SedanMileage_PaidAuto,2023,60,New,101900
FLCL2_ITIN_LTV3_50.01-60_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_50.01-60_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_50.01-60_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_50.01-60_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_50.01-60_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_50.01-60_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_50.01-60_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_60.01-70_SedanMileage_None,2023,48,New,101900
FLCL2_ITIN_LTV3_60.01-70_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_60.01-70_SedanMileage_PaidAuto,2023,60,New,101900
FLCL2_ITIN_LTV3_60.01-70_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_60.01-70_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_60.01-70_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_60.01-70_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_60.01-70_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_60.01-70_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_60.01-70_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_70.01-80_SedanMileage_None,2023,48,New,101900
FLCL2_ITIN_LTV3_70.01-80_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_70.01-80_SedanMileage_PaidAuto,2023,60,New,101900
FLCL2_ITIN_LTV3_70.01-80_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_70.01-80_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_70.01-80_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_70.01-80_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_70.01-80_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_70.01-80_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_70.01-80_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_>80.01_SedanMileage_None,2023,48,New,101900
FLCL2_ITIN_LTV3_>80.01_SedanMileage_<600,2022,54,New,101900
FLCL2_ITIN_LTV3_>80.01_SedanMileage_PaidAuto,2023,60,New,101900
