INFO_ID,USE_CASE,RATE
,CA_ITIN_LTV3_60.01-70_None_A_700LTB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_60.01-70_None_C_700STB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_60.01-70_None_D_700,{'interest_rate': 20.49}
,CA_ITIN_LTV3_70.01-80_None_None,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_None_<600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_None_PaidAuto,{'interest_rate': 17.99}
,CA_ITIN_LTV3_70.01-80_None_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_70.01-80_None_600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_70.01-80_None_AB_700LTB_PaidAuto,{'interest_rate': 11.99}
,CA_ITIN_LTV3_70.01-80_None_B_700_PaidAuto,{'interest_rate': 13.99}
,CA_ITIN_LTV3_70.01-80_None_A_700LTB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_70.01-80_None_C_700STB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_70.01-80_None_D_700,{'interest_rate': 20.49}
,CA_ITIN_LTV3_>80.01_None_None,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_None_<600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_None_PaidAuto,{'interest_rate': 17.99}
,CA_ITIN_LTV3_>80.01_None_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_>80.01_None_600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_>80.01_None_AB_700LTB_PaidAuto,{'interest_rate': 11.99}
,CA_ITIN_LTV3_>80.01_None_B_700_PaidAuto,{'interest_rate': 13.99}
,CA_ITIN_LTV3_>80.01_None_A_700LTB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_>80.01_None_C_700STB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_>80.01_None_D_700,{'interest_rate': 20.49}
,CA_ITIN_LTV3_0-20_Luxury_None,{'interest_rate': 21.49}
,CA_ITIN_LTV3_0-20_Luxury_None_<600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_0-20_Luxury_PaidAuto,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_Luxury_PaidAuto_600,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_Luxury_600,{'interest_rate': 21.99}
,CA_ITIN_LTV3_0-20_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 12.49}
,CA_ITIN_LTV3_0-20_Luxury_B_700_PaidAuto,{'interest_rate': 14.49}
,CA_ITIN_LTV3_0-20_Luxury_A_700LTB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_0-20_Luxury_C_700STB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_0-20_Luxury_D_700,{'interest_rate': 20.99}
,CA_ITIN_LTV3_20.01-30_Luxury_None,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_Luxury_<600,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_Luxury_PaidAuto,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_Luxury_PaidAuto_600,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_Luxury_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_20.01-30_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_20.01-30_Luxury_B_700_PaidAuto,{'interest_rate': 14.99}
,CA_ITIN_LTV3_20.01-30_Luxury_A_700LTB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_20.01-30_Luxury_C_700STB,{'interest_rate': 19.99}
,CA_ITIN_LTV3_20.01-30_Luxury_D_700,{'interest_rate': 21.49}
,CA_ITIN_LTV3_30.01-40_Luxury_None,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_Luxury_<600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_Luxury_PaidAuto,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_Luxury_PaidAuto_600,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_Luxury_600,{'interest_rate': 22.99}
,CA_ITIN_LTV3_30.01-40_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 13.49}
,CA_ITIN_LTV3_30.01-40_Luxury_B_700_PaidAuto,{'interest_rate': 15.49}
,CA_ITIN_LTV3_30.01-40_Luxury_A_700LTB,{'interest_rate': 19.99}
,CA_ITIN_LTV3_30.01-40_Luxury_C_700STB,{'interest_rate': 20.49}
,CA_ITIN_LTV3_30.01-40_Luxury_D_700,{'interest_rate': 21.99}
,CA_ITIN_LTV3_40.01-50_Luxury_None,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_Luxury_<600,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_Luxury_PaidAuto,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_Luxury_PaidAuto_600,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_Luxury_600,{'interest_rate': 23.49}
,CA_ITIN_LTV3_40.01-50_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 13.99}
,CA_ITIN_LTV3_40.01-50_Luxury_B_700_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_40.01-50_Luxury_A_700LTB,{'interest_rate': 20.49}
,CA_ITIN_LTV3_40.01-50_Luxury_C_700STB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_40.01-50_Luxury_D_700,{'interest_rate': 22.49}
,CA_ITIN_LTV3_50.01-60_Luxury_None,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_Luxury_<600,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_Luxury_PaidAuto,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_Luxury_PaidAuto_600,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_Luxury_600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_50.01-60_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 14.49}
,CA_ITIN_LTV3_50.01-60_Luxury_B_700_PaidAuto,{'interest_rate': 16.49}
,CA_ITIN_LTV3_50.01-60_Luxury_A_700LTB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_50.01-60_Luxury_C_700STB,{'interest_rate': 21.49}
,CA_ITIN_LTV3_50.01-60_Luxury_D_700,{'interest_rate': 22.99}
,CA_ITIN_LTV3_60.01-70_Luxury_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_Luxury_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_Luxury_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_Luxury_PaidAuto_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_Luxury_600,{'interest_rate': 24.49}
,CA_ITIN_LTV3_60.01-70_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 14.99}
,CA_ITIN_LTV3_60.01-70_Luxury_B_700_PaidAuto,{'interest_rate': 16.99}
,CA_ITIN_LTV3_60.01-70_Luxury_A_700LTB,{'interest_rate': 21.49}
,CA_ITIN_LTV3_60.01-70_Luxury_C_700STB,{'interest_rate': 21.99}
,CA_ITIN_LTV3_60.01-70_Luxury_D_700,{'interest_rate': 23.49}
,CA_ITIN_LTV3_70.01-80_Luxury_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_70.01-80_Luxury_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_70.01-80_Luxury_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_Luxury_PaidAuto_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_Luxury_600,{'interest_rate': 24.49}
,CA_ITIN_LTV3_70.01-80_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 14.99}
,CA_ITIN_LTV3_70.01-80_Luxury_B_700_PaidAuto,{'interest_rate': 16.99}
,CA_ITIN_LTV3_70.01-80_Luxury_A_700LTB,{'interest_rate': 21.49}
,CA_ITIN_LTV3_70.01-80_Luxury_C_700STB,{'interest_rate': 21.99}
,CA_ITIN_LTV3_70.01-80_Luxury_D_700,{'interest_rate': 23.49}
,CA_ITIN_LTV3_>80.01_Luxury_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_Luxury_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_Luxury_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_Luxury_PaidAuto_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_Luxury_600,{'interest_rate': 24.49}
,CA_ITIN_LTV3_>80.01_Luxury_AB_700LTB_PaidAuto,{'interest_rate': 14.99}
,CA_ITIN_LTV3_>80.01_Luxury_B_700_PaidAuto,{'interest_rate': 16.99}
,CA_ITIN_LTV3_>80.01_Luxury_A_700LTB,{'interest_rate': 21.49}
,CA_ITIN_LTV3_>80.01_Luxury_C_700STB,{'interest_rate': 21.99}
,CA_ITIN_LTV3_>80.01_Luxury_D_700,{'interest_rate': 23.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_None,{'interest_rate': 24.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_<600,{'interest_rate': 24.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_PaidAuto,{'interest_rate': 21.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_PaidAuto_600,{'interest_rate': 20.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_20_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 14.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 16.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_A_700LTB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_20_Luxury&Mileage_C_700STB,{'interest_rate': 21.49}
,CA_ITIN_LTV3_20_Luxury&Mileage_D_700,{'interest_rate': 22.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_None,{'interest_rate': 24.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_<600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_PaidAuto,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_PaidAuto_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 14.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 16.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_A_700LTB,{'interest_rate': 21.49}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_C_700STB,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_Luxury&Mileage_D_700,{'interest_rate': 23.49}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_None,{'interest_rate': 24.99}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_None_<600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_PaidAuto,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_PaidAuto_600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 15.49}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 17.49}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_A_700LTB,{'interest_rate': 21.99}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_C_700STB,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_Luxury&Mileage_D_700,{'interest_rate': 23.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_None,{'interest_rate': 24.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_<600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_PaidAuto,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_PaidAuto_600,{'interest_rate': 21.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 17.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_A_700LTB,{'interest_rate': 22.49}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_C_700STB,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_Luxury&Mileage_D_700,{'interest_rate': 24.49}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_None,{'interest_rate': 24.99}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_<600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_PaidAuto,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_PaidAuto_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_600,{'interest_rate': 24.99}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 16.49}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 18.49}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_A_700LTB,{'interest_rate': 22.99}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_C_700STB,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_Luxury&Mileage_D_700,{'interest_rate': 24.99}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_None,{'interest_rate': 25.49}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_<600,{'interest_rate': 25.49}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_PaidAuto,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_PaidAuto_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_600,{'interest_rate': 25.49}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 18.99}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_A_700LTB,{'interest_rate': 22.49}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_C_700STB,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_Luxury&Mileage_D_700,{'interest_rate': 25.49}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_None,{'interest_rate': 25.49}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_<600,{'interest_rate': 25.49}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_PaidAuto,{'interest_rate': 23.99}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_PaidAuto_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_600,{'interest_rate': 25.49}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 18.99}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_A_700LTB,{'interest_rate': 22.49}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_C_700STB,{'interest_rate': 23.99}
,CA_ITIN_LTV3_70.01-80_Luxury&Mileage_D_700,{'interest_rate': 25.49}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_None,{'interest_rate': 25.49}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_<600,{'interest_rate': 25.49}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_PaidAuto,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_PaidAuto_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_600,{'interest_rate': 25.49}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_AB_700LTB_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_B_700_PaidAuto,{'interest_rate': 18.99}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_A_700LTB,{'interest_rate': 22.49}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_C_700STB,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_Luxury&Mileage_D_700,{'interest_rate': 25.49}
,CA_ITIN_LTV3_0-20_SedanMileage_None,{'interest_rate': 21.49}
,CA_ITIN_LTV3_0-20_SedanMileage_<600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_0-20_SedanMileage_PaidAuto,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_SedanMileage_PaidAuto_600,{'interest_rate': 15.49}
,CA_ITIN_LTV3_0-20_SedanMileage_600,{'interest_rate': 19.99}
,CA_ITIN_LTV3_0-20_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 10.49}
,CA_ITIN_LTV3_0-20_SedanMileage_B_700_PaidAuto,{'interest_rate': 13.49}
,CA_ITIN_LTV3_0-20_SedanMileage_A_700LTB,{'interest_rate': 16.99}
,CA_ITIN_LTV3_0-20_SedanMileage_C_700STB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_SedanMileage_D_700,{'interest_rate': 19.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_None,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_<600,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_PaidAuto,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_PaidAuto_600,{'interest_rate': 15.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_600,{'interest_rate': 20.49}
,CA_ITIN_LTV3_20.01-30_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 10.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_B_700_PaidAuto,{'interest_rate': 13.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_A_700LTB,{'interest_rate': 17.49}
,CA_ITIN_LTV3_20.01-30_SedanMileage_C_700STB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_SedanMileage_D_700,{'interest_rate': 20.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_None,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_<600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_PaidAuto,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_PaidAuto_600,{'interest_rate': 16.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_30.01-40_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 11.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_B_700_PaidAuto,{'interest_rate': 14.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_A_700LTB,{'interest_rate': 17.99}
,CA_ITIN_LTV3_30.01-40_SedanMileage_C_700STB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_SedanMileage_D_700,{'interest_rate': 20.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_None,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_<600,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_PaidAuto,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_PaidAuto_600,{'interest_rate': 16.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_40.01-50_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 11.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_B_700_PaidAuto,{'interest_rate': 14.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_A_700LTB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_40.01-50_SedanMileage_C_700STB,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_SedanMileage_D_700,{'interest_rate': 21.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_None,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_<600,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_PaidAuto,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_PaidAuto_600,{'interest_rate': 17.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_600,{'interest_rate': 21.99}
,CA_ITIN_LTV3_50.01-60_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_B_700_PaidAuto,{'interest_rate': 15.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_A_700LTB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_50.01-60_SedanMileage_C_700STB,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_SedanMileage_D_700,{'interest_rate': 21.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_60.01-70_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_B_700_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_A_700LTB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_60.01-70_SedanMileage_C_700STB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_SedanMileage_D_700,{'interest_rate': 22.49}
,CA_ITIN_LTV3_70.01-80_SedanMileage_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_70.01-80_SedanMileage_<600,{'interest_rate': 23.99}
