TESTCASE,Age,Term,Vehicle_Type,Milage,Total_Cash_Price,LOAN_PROGRAM_ID
CA_SSN_LTV3_60.01-70_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_<600,2024,54,Used,1000,37000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_None_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_70.01-80_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_<600,2024,54,Used,1000,37000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_>80.01_Luxury_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_None,2025,48,Used,125205,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_<600,2024,54,Used,101900,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_PaidAuto,2024,60,Used,110909,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_PaidAuto_600,2024,66,Used,100001,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_600,2025,72,Used,100411,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_AB_700LTB_PaidAuto,2021,48,Used,117538,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_B_700_PaidAuto,2021,54,Used,100001,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_A_700LTB,2019,60,Used,100001,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_C_700STB,2019,66,Used,100001,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20_Luxury&Mileage_D_700,2017,72,Used,100001,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_None,2025,48,Used,125205,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_<600,2024,54,Used,101900,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_PaidAuto,2024,60,Used,110909,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_PaidAuto_600,2024,66,Used,100001,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_600,2025,72,Used,100411,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_AB_700LTB_PaidAuto,2021,48,Used,117538,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_B_700_PaidAuto,2021,54,Used,100001,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_A_700LTB,2019,60,Used,100001,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_C_700STB,2019,66,Used,100001,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_Luxury&Mileage_D_700,2017,72,Used,100001,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_None,2025,48,Used,125205,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_None_<600,2024,54,Used,101900,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_PaidAuto,2024,60,Used,110909,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_PaidAuto_600,2024,66,Used,100001,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_600,2025,72,Used,100411,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_AB_700LTB_PaidAuto,2021,48,Used,117538,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_B_700_PaidAuto,2021,54,Used,100001,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_A_700LTB,2019,60,Used,100001,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_C_700STB,2019,66,Used,100001,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_Luxury&Mileage_D_700,2017,72,Used,100001,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_None,2025,48,Used,125205,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_<600,2024,54,Used,101900,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_PaidAuto,2024,60,Used,110909,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_PaidAuto_600,2024,66,Used,100001,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_600,2025,72,Used,100411,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_AB_700LTB_PaidAuto,2021,48,Used,117538,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_B_700_PaidAuto,2021,54,Used,100001,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_A_700LTB,2019,60,Used,100001,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_C_700STB,2019,66,Used,100001,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_Luxury&Mileage_D_700,2017,72,Used,100001,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury&Mileage_None,2025,48,Used,125205,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury&Mileage_<600,2024,54,Used,101900,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury&Mileage_PaidAuto,2024,60,Used,110909,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury&Mileage_PaidAuto_600,2024,66,Used,100001,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury&Mileage_600,2025,72,Used,100411,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury&Mileage_AB_700LTB_PaidAuto,2021,48,Used,117538,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_Luxury&Mileage_B_700_PaidAuto,2021,54,Used,100001,30102,Indirect_AutoIndirect_001_000_Core_008_039
